TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
09040992;101398;;Commercial;custom;;;30-7-2020 14:11;;2
08207868;104135;;Commercial;custom;;;30-7-2020 14:11;;2
08105124;101422;;Commercial;custom;;;30-7-2020 14:11;;2
08101931;101254;;Commercial;custom;;;30-7-2020 14:11;;2
08036966;101153;;Commercial;custom;;;30-7-2020 14:11;;2
78452538;113114;;Commercial;custom;;;30-7-2020 14:11;;2
09147819;101161;;Commercial;custom;;;30-7-2020 14:11;;2
12062246;101259;;Commercial;custom;;;30-7-2020 14:11;;2
12057662;101610;;Commercial;custom;;;30-7-2020 14:11;;2
12057047;101282;;Commercial;custom;;;30-7-2020 14:11;;2
12041238;101614;;Commercial;custom;;;30-7-2020 14:11;;2
12043504;101381;;Commercial;custom;;;30-7-2020 14:11;;2
12044040;103205;;Commercial;custom;;;30-7-2020 14:11;;2
12048719;101216;;Commercial;custom;;;30-7-2020 14:11;;2
76789144;101666;;Commercial;custom;;;30-7-2020 14:11;;2
76648540;101357;;Commercial;custom;;;30-7-2020 14:11;;2
76414124;103262;;Commercial;custom;;;30-7-2020 14:11;;2
76393410;101279;;Commercial;custom;;;30-7-2020 14:11;;2
75992019;103211;;Commercial;custom;;;30-7-2020 14:11;;2
75681668;103166;;Commercial;custom;;;30-7-2020 14:11;;2
75280582;101329;;Commercial;custom;;;30-7-2020 14:11;;2
66359066;101252;;Commercial;custom;;;30-7-2020 14:11;;2
66002990;101401;;Commercial;custom;;;30-7-2020 14:11;;2
55438989;101239;;Commercial;custom;;;30-7-2020 14:11;;2
55438873;103153;;Commercial;custom;;;30-7-2020 14:11;;2
55393381;101203;;Commercial;custom;;;30-7-2020 14:11;;2
55325262;101003;;Commercial;custom;;;30-7-2020 14:11;;2
55291376;101325;;Commercial;custom;;;30-7-2020 14:11;;2
55160999;101283;;Commercial;custom;;;30-7-2020 14:11;;2
54743265;101374;;Commercial;custom;;;30-7-2020 14:11;;2
55427405;101260;;Commercial;custom;;;30-7-2020 14:11;;2
55701965;101010;;Commercial;custom;;;30-7-2020 14:11;;2
55931391;101340;;Commercial;custom;;;30-7-2020 14:11;;2
56036957;101233;;Commercial;custom;;;30-7-2020 14:11;;2
56495021;101416;;Commercial;custom;;;30-7-2020 14:11;;2
56479174;112474;;Commercial;custom;;;30-7-2020 14:11;;2
56400845;101245;;Commercial;custom;;;30-7-2020 14:11;;2
56349939;103209;;Commercial;custom;;;30-7-2020 14:11;;2
56160887;101384;;Commercial;custom;;;30-7-2020 14:11;;2
56157622;101068;;Commercial;custom;;;30-7-2020 14:11;;2
56078900;101016;;Commercial;custom;;;30-7-2020 14:11;;2
56053312;101358;;Commercial;custom;;;30-7-2020 14:11;;2
54684889;111995;;Commercial;custom;;;30-7-2020 14:11;;2
53638069;101364;;Commercial;custom;;;30-7-2020 14:11;;2
53633253;101424;;Commercial;custom;;;30-7-2020 14:11;;2
53582586;101060;;Commercial;custom;;;30-7-2020 14:11;;2
53558502;101306;;Commercial;custom;;;30-7-2020 14:11;;2
53490495;101351;;Commercial;custom;;;30-7-2020 14:11;;2
53480376;101041;;Commercial;custom;;;30-7-2020 14:11;;2
53386051;103163;;Commercial;custom;;;30-7-2020 14:11;;2
53356535;103201;;Commercial;custom;;;30-7-2020 14:11;;2
53264770;103743;;Commercial;custom;;;30-7-2020 14:11;;2
53196309;103117;;Commercial;custom;;;30-7-2020 14:11;;2
61573906;101054;;Commercial;custom;;;30-7-2020 14:11;;2
61473553;101086;;Commercial;custom;;;30-7-2020 14:11;;2
61260053;101197;;Commercial;custom;;;30-7-2020 14:11;;2
60788046;101210;;Commercial;custom;;;30-7-2020 14:11;;2
60667389;101266;;Commercial;custom;;;30-7-2020 14:11;;2
60506490;101296;;Commercial;custom;;;30-7-2020 14:11;;2
60350911;101562;;Commercial;custom;;;30-7-2020 14:11;;2
62093797;101338;;Commercial;custom;;;30-7-2020 14:11;;2
65806883;101438;;Commercial;custom;;;30-7-2020 14:11;;2
65245571;101056;;Commercial;custom;;;30-7-2020 14:11;;2
65224035;112003;;Commercial;custom;;;30-7-2020 14:11;;2
65043626;101055;;Commercial;custom;;;30-7-2020 14:11;;2
64818128;101281;;Commercial;custom;;;30-7-2020 14:11;;2
